id,date,category,units,unit_price,total
1,2026-02-02,Gadget,8,113.00,904.00
2,2026-03-03,Gizmo,15,126.00,1890.00
3,2026-04-04,Doohickey,22,139.00,3058.00
4,2026-05-05,Widget,29,152.00,4408.00
5,2026-06-06,Gadget,36,165.00,5940.00
6,2026-07-07,Gizmo,43,178.00,7654.00
7,2026-08-08,Doohickey,50,191.00,9550.00
8,2026-09-09,Widget,7,204.00,1428.00
9,2026-10-10,Gadget,14,217.00,3038.00
10,2026-11-11,Gizmo,21,230.00,4830.00
11,2026-12-12,Doohickey,28,243.00,6804.00
12,2026-01-13,Widget,35,256.00,8960.00
13,2026-02-14,Gadget,42,269.00,11298.00
14,2026-03-15,Gizmo,49,282.00,13818.00
15,2026-04-16,Doohickey,6,295.00,1770.00
16,2026-05-17,Widget,13,308.00,4004.00
17,2026-06-18,Gadget,20,321.00,6420.00
18,2026-07-19,Gizmo,27,334.00,9018.00
19,2026-08-20,Doohickey,34,347.00,11798.00
20,2026-09-21,Widget,41,360.00,14760.00
21,2026-10-22,Gadget,48,373.00,17904.00
22,2026-11-23,Gizmo,5,386.00,1930.00
23,2026-12-24,Doohickey,12,399.00,4788.00
24,2026-01-25,Widget,19,412.00,7828.00
25,2026-02-26,Gadget,26,425.00,11050.00
26,2026-03-27,Gizmo,33,438.00,14454.00
27,2026-04-01,Doohickey,40,451.00,18040.00
28,2026-05-02,Widget,47,464.00,21808.00
29,2026-06-03,Gadget,4,477.00,1908.00
30,2026-07-04,Gizmo,11,490.00,5390.00
31,2026-08-05,Doohickey,18,503.00,9054.00
32,2026-09-06,Widget,25,516.00,12900.00
33,2026-10-07,Gadget,32,529.00,16928.00
34,2026-11-08,Gizmo,39,542.00,21138.00
35,2026-12-09,Doohickey,46,555.00,25530.00
36,2026-01-10,Widget,3,568.00,1704.00
37,2026-02-11,Gadget,10,581.00,5810.00
38,2026-03-12,Gizmo,17,594.00,10098.00
39,2026-04-13,Doohickey,24,607.00,14568.00
40,2026-05-14,Widget,31,620.00,19220.00
41,2026-06-15,Gadget,38,633.00,24054.00
42,2026-07-16,Gizmo,45,646.00,29070.00
43,2026-08-17,Doohickey,2,659.00,1318.00
44,2026-09-18,Widget,9,672.00,6048.00
45,2026-10-19,Gadget,16,685.00,10960.00
46,2026-11-20,Gizmo,23,698.00,16054.00
47,2026-12-21,Doohickey,30,711.00,21330.00
48,2026-01-22,Widget,37,724.00,26788.00
49,2026-02-23,Gadget,44,737.00,32428.00
50,2026-03-24,Gizmo,1,750.00,750.00
51,2026-04-25,Doohickey,8,763.00,6104.00
52,2026-05-26,Widget,15,776.00,11640.00
53,2026-06-27,Gadget,22,789.00,17358.00
54,2026-07-01,Gizmo,29,802.00,23258.00
55,2026-08-02,Doohickey,36,815.00,29340.00
56,2026-09-03,Widget,43,828.00,35604.00
57,2026-10-04,Gadget,50,841.00,42050.00
58,2026-11-05,Gizmo,7,854.00,5978.00
59,2026-12-06,Doohickey,14,867.00,12138.00
60,2026-01-07,Widget,21,880.00,18480.00
61,2026-02-08,Gadget,28,893.00,25004.00
62,2026-03-09,Gizmo,35,906.00,31710.00
63,2026-04-10,Doohickey,42,919.00,38598.00
64,2026-05-11,Widget,49,932.00,45668.00
65,2026-06-12,Gadget,6,945.00,5670.00
66,2026-07-13,Gizmo,13,958.00,12454.00
67,2026-08-14,Doohickey,20,971.00,19420.00
68,2026-09-15,Widget,27,984.00,26568.00
69,2026-10-16,Gadget,34,997.00,33898.00
70,2026-11-17,Gizmo,41,110.00,4510.00
71,2026-12-18,Doohickey,48,123.00,5904.00
72,2026-01-19,Widget,5,136.00,680.00
73,2026-02-20,Gadget,12,149.00,1788.00
74,2026-03-21,Gizmo,19,162.00,3078.00
75,2026-04-22,Doohickey,26,175.00,4550.00
76,2026-05-23,Widget,33,188.00,6204.00
77,2026-06-24,Gadget,40,201.00,8040.00
78,2026-07-25,Gizmo,47,214.00,10058.00
79,2026-08-26,Doohickey,4,227.00,908.00
80,2026-09-27,Widget,11,240.00,2640.00
81,2026-10-01,Gadget,18,253.00,4554.00
82,2026-11-02,Gizmo,25,266.00,6650.00
83,2026-12-03,Doohickey,32,279.00,8928.00
84,2026-01-04,Widget,39,292.00,11388.00
85,2026-02-05,Gadget,46,305.00,14030.00
86,2026-03-06,Gizmo,3,318.00,954.00
87,2026-04-07,Doohickey,10,331.00,3310.00
88,2026-05-08,Widget,17,344.00,5848.00
89,2026-06-09,Gadget,24,357.00,8568.00
90,2026-07-10,Gizmo,31,370.00,11470.00
91,2026-08-11,Doohickey,38,383.00,14554.00
92,2026-09-12,Widget,45,396.00,17820.00
93,2026-10-13,Gadget,2,409.00,818.00
94,2026-11-14,Gizmo,9,422.00,3798.00
95,2026-12-15,Doohickey,16,435.00,6960.00
96,2026-01-16,Widget,23,448.00,10304.00
97,2026-02-17,Gadget,30,461.00,13830.00
98,2026-03-18,Gizmo,37,474.00,17538.00
99,2026-04-19,Doohickey,44,487.00,21428.00
100,2026-05-20,Widget,1,500.00,500.00
101,2026-06-21,Gadget,8,513.00,4104.00
102,2026-07-22,Gizmo,15,526.00,7890.00
103,2026-08-23,Doohickey,22,539.00,11858.00
104,2026-09-24,Widget,29,552.00,16008.00
105,2026-10-25,Gadget,36,565.00,20340.00
106,2026-11-26,Gizmo,43,578.00,24854.00
107,2026-12-27,Doohickey,50,591.00,29550.00
108,2026-01-01,Widget,7,604.00,4228.00
109,2026-02-02,Gadget,14,617.00,8638.00
110,2026-03-03,Gizmo,21,630.00,13230.00
111,2026-04-04,Doohickey,28,643.00,18004.00
112,2026-05-05,Widget,35,656.00,22960.00
113,2026-06-06,Gadget,42,669.00,28098.00
114,2026-07-07,Gizmo,49,682.00,33418.00
115,2026-08-08,Doohickey,6,695.00,4170.00
116,2026-09-09,Widget,13,708.00,9204.00
117,2026-10-10,Gadget,20,721.00,14420.00
118,2026-11-11,Gizmo,27,734.00,19818.00
119,2026-12-12,Doohickey,34,747.00,25398.00
120,2026-01-13,Widget,41,760.00,31160.00
121,2026-02-14,Gadget,48,773.00,37104.00
122,2026-03-15,Gizmo,5,786.00,3930.00
123,2026-04-16,Doohickey,12,799.00,9588.00
124,2026-05-17,Widget,19,812.00,15428.00
125,2026-06-18,Gadget,26,825.00,21450.00
126,2026-07-19,Gizmo,33,838.00,27654.00
127,2026-08-20,Doohickey,40,851.00,34040.00
128,2026-09-21,Widget,47,864.00,40608.00
129,2026-10-22,Gadget,4,877.00,3508.00
130,2026-11-23,Gizmo,11,890.00,9790.00
131,2026-12-24,Doohickey,18,903.00,16254.00
132,2026-01-25,Widget,25,916.00,22900.00
133,2026-02-26,Gadget,32,929.00,29728.00
134,2026-03-27,Gizmo,39,942.00,36738.00
135,2026-04-01,Doohickey,46,955.00,43930.00
136,2026-05-02,Widget,3,968.00,2904.00
137,2026-06-03,Gadget,10,981.00,9810.00
138,2026-07-04,Gizmo,17,994.00,16898.00
139,2026-08-05,Doohickey,24,107.00,2568.00
140,2026-09-06,Widget,31,120.00,3720.00
141,2026-10-07,Gadget,38,133.00,5054.00
142,2026-11-08,Gizmo,45,146.00,6570.00
143,2026-12-09,Doohickey,2,159.00,318.00
144,2026-01-10,Widget,9,172.00,1548.00
145,2026-02-11,Gadget,16,185.00,2960.00
146,2026-03-12,Gizmo,23,198.00,4554.00
147,2026-04-13,Doohickey,30,211.00,6330.00
148,2026-05-14,Widget,37,224.00,8288.00
149,2026-06-15,Gadget,44,237.00,10428.00
150,2026-07-16,Gizmo,1,250.00,250.00
151,2026-08-17,Doohickey,8,263.00,2104.00
152,2026-09-18,Widget,15,276.00,4140.00
153,2026-10-19,Gadget,22,289.00,6358.00
154,2026-11-20,Gizmo,29,302.00,8758.00
155,2026-12-21,Doohickey,36,315.00,11340.00
156,2026-01-22,Widget,43,328.00,14104.00
157,2026-02-23,Gadget,50,341.00,17050.00
158,2026-03-24,Gizmo,7,354.00,2478.00
